FILE,WATCHED,CUT,SOUND,HISS,MOVEMENT,NOISE,WEIRD
38_2_trial_20_p0_staan_gebaren_c2_final.avi,1,1,0,0,0,0,0
38_2_trial_49_p0_vallen_combinatie_c0_final.avi,1,0,0,0,0,0,0
38_2_trial_60_p1_kind_combinatie_c1_final.avi,1,0,0,0,0,0,0
38_2_trial_74_p0_koud_geluiden_c0_final.avi,1,1,0,0,0,0,0
38_2_trial_76_p0_luidruchtig_geluiden_c1_final.avi,1,0,0,0,0,0,0
38_2_trial_78_p0_klein_geluiden_c0_final.avi,1,1,0,0,0,0,0
38_2_trial_79_p0_klein_geluiden_c1_final.avi,1,1,0,0,0,0,0
38_2_trial_80_p0_klein_geluiden_c2_final.avi,1,1,0,0,0,0,0
38_2_trial_81_p0_dik_geluiden_c0_final.avi,1,0,0,0,0,0,0
38_2_trial_83_p0_dik_geluiden_c2_final.avi,1,0,0,0,0,0,0
38_2_trial_84_p0_kauwen_geluiden_c0_final.avi,1,1,0,0,0,0,0
38_2_trial_85_p0_kauwen_geluiden_c1_final.avi,1,1,0,0,0,0,0
38_2_trial_86_p0_kauwen_geluiden_c2_final.avi,1,1,0,0,0,0,0
38_2_trial_87_p0_kotsen_geluiden_c0_final.avi,1,1,0,0,0,0,0
38_2_trial_89_p0_lopen_geluiden_c0_final.avi,1,0,0,0,0,0,0
39_1_trial_13_p1_huilen_geluiden_final.avi,1,1,0,0,0,0,0
39_1_trial_17_p1_kotsen_geluiden_final.avi,1,1,0,0,0,0,0
39_1_trial_49_p1_scherp_combinatie_final.avi,1,1,0,0,0,0,0
39_1_trial_52_p1_eten_combinatie_final.avi,1,0,0,0,0,0,0
39_2_trial_48_p1_springen_geluiden_c2_final.avi,1,1,0,0,0,0,0
3_2_trial_10_p0_dik_geluiden_c0_final.avi,1,0,0,0,0,0,0
3_2_trial_11_p0_dik_geluiden_c1_final.avi,1,0,0,0,0,0,0
3_2_trial_29_p1_man_geluiden_c0_final.avi,1,1,0,0,0,0,0
3_2_trial_36_p1_kauwen_geluiden_c2_final.avi,1,1,0,0,0,0,0
3_2_trial_38_p1_slapen_geluiden_c0_final.avi,1,1,0,0,0,0,0
3_2_trial_47_p0_vechten_gebaren_c0_final.avi,1,1,0,0,0,0,0
3_2_trial_59_p1_koud_gebaren_c0_final.avi,1,1,0,0,0,0,0
3_2_trial_61_p1_snel_gebaren_c0_final.avi,1,1,0,0,0,0,0
3_2_trial_62_p1_snel_gebaren_c1_final.avi,1,1,0,0,0,0,0
3_2_trial_65_p1_vuur_gebaren_c0_final.avi,1,1,0,0,0,0,0
3_2_trial_71_p0_ver_combinatie_c0_final.avi,1,0,0,0,0,0,0
3_2_trial_77_p0_bang_combinatie_c0_final.avi,1,0,0,0,0,0,0
3_2_trial_79_p0_staart_combinatie_c1_final.avi,1,0,0,0,0,0,0
3_2_trial_9_p0_stil_geluiden_c0_final.avi,1,0,0,0,0,0,0
40_1_trial_20_p0_boos_gebaren_final.avi,1,1,0,0,0,0,0
40_1_trial_2_p0_zoemen_combinatie_final.avi,1,1,0,0,0,0,0
