ID,trial_order,word,answer,exp,English
15,43,hoorn,instrument,2,horn
15,44,ziek,ziek,2,sick
15,45,eten,lekker,2,to eat
15,46,eten,eten,2,to eat
15,47,vallen,bom,2,to fall
15,48,vallen,vallen,2,to fall
15,49,rennen,hardlopen,2,to run
15,50,rennen,rennen,2,to run
15,51,eend,eend,2,duck
15,52,glimlach,neurien,2,smile
15,53,glimlach,lachen,2,smile
15,54,glimlach,lachen,2,smile
15,55,zoemen,zoemen,2,buzz
15,56,dood,tikken,2,dead
15,57,dood,uitgleiden,2,dead
15,58,dood,achtbaan,2,dead
15,59,bliksem,schieten,2,lightning
15,60,bliksem,blazen,2,lightning
15,61,bliksem,wind,2,lightning
15,62,berg,verbaast,2,mountain
15,63,berg,rennen,2,mountain
15,64,berg,vallen,2,mountain
15,65,geur,knikken,2,odor
15,66,geur,goedkeuren,2,odor
15,67,geur,luisteren,2,odor
15,68,oud,spanning,2,old
15,69,oud,angst,2,old
15,70,zuur,pijn,2,sour
15,71,zuur,moeilijk,2,sour
15,72,zuur,lastig,2,sour
15,73,vliegtuig,vliegen,2,airplane
15,74,vliegtuig,vliegtuig,2,airplane
15,75,sneeuw,winter,2,snow
15,76,sneeuw,sneeuw,2,snow
15,77,walgen,vies,2,disgusted
15,78,walgen,overgeven,2,disgusted
15,79,walgen,angst,2,disgusted
15,80,snel,haast,2,fast
15,81,snel,snel,2,fast
15,82,vrouw,vrouw,2,female
15,83,hoog,hoog,2,high
15,84,scherp,snijden,2,sharp
15,85,scherp,zagen,2,sharp
15,86,scherp,scherp,2,sharp
15,87,langzaam,langzaam,2,slow
15,88,water,kraan,2,water
15,89,water,water,2,water
15,90,zwaaien,zwaaien,2,to wave
15,91,klok,klok,2,clock
15,92,boos,boos,2,angry
15,93,kind,baby,2,child
15,94,kind,peuter,2,child
15,95,kind,kind,2,child
15,96,ver,verweg,2,far
15,97,vis,slang,2,fish
15,98,vis,kronkelen,2,fish
15,99,vis,zee,2,fish
15,100,regen,regen,2,rain
15,101,piepen,kip,2,squeak
15,102,piepen,kuikelen,2,squeak
15,103,piepen,kwaken,2,squeak
15,104,vangen,vangen,2,to catch
