Time,TrialID,arms,lower_body,upper_body,head_mov,movement_in_trial
1949.999999999998,0_2_1_p0,movement,movement,movement,movement,movement
1966.6666666666647,0_2_1_p0,movement,movement,movement,movement,movement
1983.3333333333312,0_2_1_p0,movement,movement,movement,movement,movement
1999.9999999999973,0_2_1_p0,movement,movement,movement,movement,movement
2016.6666666666645,0_2_1_p0,movement,movement,movement,movement,movement
2033.333333333331,0_2_1_p0,movement,movement,movement,movement,movement
2049.9999999999977,0_2_1_p0,movement,movement,movement,movement,movement
2066.666666666664,0_2_1_p0,movement,movement,movement,movement,movement
2083.3333333333308,0_2_1_p0,movement,movement,movement,movement,movement
2099.999999999997,0_2_1_p0,movement,movement,movement,movement,movement
2116.666666666664,0_2_1_p0,movement,movement,movement,movement,movement
2133.3333333333303,0_2_1_p0,movement,movement,movement,movement,movement
2149.999999999997,0_2_1_p0,movement,movement,movement,movement,movement
2166.666666666664,0_2_1_p0,movement,movement,movement,movement,movement
2183.3333333333303,0_2_1_p0,movement,movement,movement,movement,movement
2199.9999999999973,0_2_1_p0,movement,movement,movement,movement,movement
2216.666666666664,0_2_1_p0,movement,movement,movement,movement,movement
2233.3333333333303,0_2_1_p0,movement,movement,movement,movement,movement
2249.999999999997,0_2_1_p0,movement,movement,movement,movement,movement
2266.666666666664,0_2_1_p0,movement,movement,movement,movement,movement
2283.3333333333303,0_2_1_p0,movement,movement,movement,movement,movement
2299.999999999997,0_2_1_p0,movement,movement,movement,movement,movement
2316.666666666664,0_2_1_p0,movement,movement,movement,movement,movement
2333.33333333333,0_2_1_p0,movement,movement,movement,movement,movement
2349.9999999999964,0_2_1_p0,movement,movement,movement,movement,movement
2366.666666666664,0_2_1_p0,movement,movement,movement,movement,movement
2383.33333333333,0_2_1_p0,movement,movement,movement,movement,movement
2399.9999999999964,0_2_1_p0,movement,movement,movement,movement,movement
2416.666666666663,0_2_1_p0,movement,movement,movement,movement,movement
2433.3333333333294,0_2_1_p0,movement,movement,movement,movement,movement
2449.9999999999964,0_2_1_p0,movement,movement,movement,movement,movement
2466.666666666663,0_2_1_p0,movement,movement,movement,nomovement,movement
2483.3333333333294,0_2_1_p0,movement,movement,movement,nomovement,movement
2499.999999999996,0_2_1_p0,movement,movement,movement,nomovement,movement
2516.6666666666624,0_2_1_p0,movement,movement,movement,nomovement,movement
2533.3333333333294,0_2_1_p0,movement,movement,movement,nomovement,movement
2549.999999999996,0_2_1_p0,movement,movement,movement,nomovement,movement
2566.6666666666624,0_2_1_p0,movement,movement,movement,nomovement,movement
2583.333333333329,0_2_1_p0,movement,movement,movement,nomovement,movement
2599.999999999996,0_2_1_p0,movement,movement,movement,nomovement,movement
2616.6666666666624,0_2_1_p0,movement,movement,movement,nomovement,movement
2633.333333333329,0_2_1_p0,movement,movement,movement,nomovement,movement
2649.9999999999955,0_2_1_p0,movement,movement,movement,nomovement,movement
2666.666666666662,0_2_1_p0,movement,movement,movement,nomovement,movement
2683.3333333333285,0_2_1_p0,movement,movement,movement,nomovement,movement
2699.999999999996,0_2_1_p0,movement,movement,movement,nomovement,movement
2716.666666666662,0_2_1_p0,movement,movement,movement,nomovement,movement
2733.3333333333285,0_2_1_p0,movement,movement,movement,nomovement,movement
2749.999999999995,0_2_1_p0,movement,movement,movement,nomovement,movement
2766.666666666661,0_2_1_p0,movement,movement,movement,nomovement,movement
2783.3333333333285,0_2_1_p0,movement,movement,movement,nomovement,movement
2799.999999999995,0_2_1_p0,movement,movement,movement,nomovement,movement
