Time,TrialID,RWrist_speed_event,RHip_speed_event,RAnkle_speed_event,RBigToe_speed_event,LBigToe_speed_event,LHeel_speed_event,RKnee_speed_event,RElbow_speed_event,Head_speed_event,LKnee_speed_event,LElbow_speed_event,LWrist_speed_event,Neck_speed_event,LShoulder_speed_event,LHip_speed_event,RSmallToe_speed_event,RHeel_speed_event,LSmallToe_speed_event,LAnkle_speed_event,RShoulder_speed_event,Nose_speed_event,RWrist_vert_vel_movement_event,LWrist_vert_vel_movement_event
1116.6666666666677,0_2_34_p1,movement,movement,movement,nomovement,movement,nomovement,movement,movement,movement,movement,movement,movement,movement,movement,movement,nomovement,movement,movement,movement,movement,movement,movement,nomovement
1133.3333333333342,0_2_34_p1,movement,movement,movement,nomovement,movement,nomovement,movement,movement,movement,movement,movement,movement,movement,movement,movement,nomovement,movement,movement,movement,movement,movement,movement,nomovement
1150.000000000001,0_2_34_p1,movement,movement,movement,nomovement,movement,nomovement,movement,movement,movement,movement,movement,movement,movement,movement,movement,nomovement,movement,movement,movement,movement,movement,movement,nomovement
1166.6666666666674,0_2_34_p1,movement,movement,movement,nomovement,movement,nomovement,movement,movement,movement,movement,movement,movement,movement,movement,movement,nomovement,movement,movement,movement,movement,movement,movement,nomovement
1183.333333333334,0_2_34_p1,movement,movement,movement,nomovement,movement,nomovement,movement,movement,movement,movement,movement,movement,movement,movement,movement,nomovement,movement,movement,movement,movement,movement,movement,nomovement
1200.000000000001,0_2_34_p1,movement,movement,movement,nomovement,movement,nomovement,movement,movement,movement,movement,movement,movement,movement,movement,movement,nomovement,movement,movement,movement,movement,movement,movement,nomovement
1216.6666666666672,0_2_34_p1,movement,movement,movement,nomovement,movement,nomovement,movement,movement,movement,movement,movement,movement,movement,movement,movement,nomovement,movement,movement,movement,movement,movement,movement,nomovement
1233.333333333334,0_2_34_p1,movement,movement,movement,nomovement,movement,nomovement,movement,movement,movement,movement,movement,movement,movement,movement,movement,nomovement,movement,movement,movement,movement,movement,movement,nomovement
1250.0000000000005,0_2_34_p1,movement,movement,movement,nomovement,movement,nomovement,movement,movement,movement,movement,movement,movement,movement,movement,movement,nomovement,movement,movement,movement,movement,movement,movement,nomovement
1266.666666666667,0_2_34_p1,movement,movement,movement,nomovement,movement,nomovement,movement,movement,movement,movement,movement,movement,movement,movement,movement,nomovement,movement,movement,movement,movement,movement,movement,nomovement
