,pcnfolder,mean_marker_error_RMS,sd_marker_error_RMS,mean_marker_error_max,sd_marker_error_max
2204,28_1_25_p0,0.041,0.049,0.121,0.248
2211,28_1_33_p1,0.043,0.005,0.099,0.02
2215,28_1_39_p0,0.042,0.026,0.096,0.077
2219,28_1_42_p0,0.057,0.019,0.144,0.068
2241,28_2_19_p1,0.046,0.01,0.094,0.02
2253,28_2_34_p0,0.048,0.015,0.129,0.064
2255,28_2_36_p0,0.054,0.006,0.106,0.021
2290,28_2_78_p0,0.045,0.019,0.111,0.053
2291,28_2_79_p0,0.051,0.024,0.112,0.052
2293,28_2_80_p0,0.041,0.021,0.092,0.06
2303,28_2_92_p1,0.064,0.034,0.129,0.062
2324,29_1_25_p0,0.045,0.009,0.101,0.032
2326,29_1_29_p1,0.044,0.027,0.09,0.065
2337,29_1_40_p0,0.041,0.035,0.093,0.099
2344,29_1_49_p1,0.043,0.016,0.095,0.05
2361,29_2_19_p1,0.051,0.02,0.12,0.067
2362,29_2_20_p1,0.044,0.021,0.099,0.066
2410,29_2_75_p0,0.07,0.026,0.146,0.054
2420,29_2_84_p0,0.051,0.044,0.13,0.144
2422,29_2_88_p1,0.048,0.013,0.111,0.043
2437,2_1_12_p1,0.043,0.007,0.088,0.019
2438,2_1_13_p1,0.041,0.006,0.1,0.021
2439,2_1_14_p1,0.042,0.004,0.082,0.01
2441,2_1_16_p1,0.047,0.014,0.104,0.046
2482,2_2_102_p1,0.049,0.02,0.122,0.06
2483,2_2_103_p1,0.054,0.02,0.147,0.08
2484,2_2_104_p1,0.041,0.003,0.095,0.013
2499,2_2_25_p1,0.047,0.007,0.105,0.026
2504,2_2_30_p1,0.052,0.01,0.122,0.031
2557,2_2_95_p1,0.047,0.018,0.102,0.054
2559,2_2_97_p1,0.073,0.03,0.149,0.069
2560,2_2_98_p1,0.046,0.011,0.116,0.035
2561,2_2_99_p1,0.05,0.019,0.12,0.059
2571,30_1_21_p0,0.042,0.016,0.109,0.07
2575,30_1_25_p0,0.079,0.033,0.196,0.092
2582,30_1_33_p1,0.045,0.03,0.1,0.078
2586,30_1_39_p0,0.059,0.025,0.149,0.081
2610,30_2_103_p1,0.041,0.016,0.092,0.046
2646,30_2_46_p0,0.059,0.102,0.212,0.525
2647,30_2_47_p0,0.05,0.016,0.128,0.045
2657,30_2_63_p1,0.07,0.027,0.144,0.054
2659,30_2_65_p1,0.06,0.035,0.12,0.069
2669,30_2_74_p1,0.059,0.033,0.133,0.082
2671,30_2_76_p1,0.044,0.012,0.1,0.041
2672,30_2_77_p1,0.071,0.032,0.151,0.062
2673,30_2_78_p1,0.043,0.01,0.1,0.036
2686,30_2_91_p0,0.041,0.024,0.098,0.09
2690,30_2_97_p1,0.05,0.013,0.126,0.04
2691,30_2_98_p1,0.043,0.015,0.098,0.046
2697,31_1_14_p1,0.043,0.01,0.107,0.055
2701,31_1_20_p0,0.042,0.02,0.089,0.049
2721,31_1_42_p0,0.049,0.008,0.122,0.036
2723,31_1_44_p0,0.058,0.018,0.144,0.046
2754,31_2_rein_100_p1,0.049,0.027,0.114,0.057
2761,31_2_rein_107_p1,0.058,0.029,0.146,0.088
2773,31_2_rein_32_p1,0.042,0.018,0.113,0.085
2896,32_2_30_p1,0.043,0.019,0.105,0.068
2919,32_2_58_p1,0.044,0.016,0.105,0.047
2920,32_2_59_p1,0.046,0.041,0.116,0.148
2923,32_2_61_p1,0.047,0.038,0.101,0.086
2977,33_1_35_p1,0.043,0.02,0.097,0.065
2992,33_1_52_p1,0.06,0.012,0.119,0.026
3006,33_2_106_p1,0.056,0.025,0.136,0.063
3007,33_2_107_p1,0.046,0.018,0.111,0.079
3010,33_2_11_p0,0.051,0.027,0.118,0.076
3013,33_2_14_p0,0.041,0.015,0.108,0.07
3014,33_2_15_p0,0.046,0.016,0.106,0.053
3017,33_2_18_p0,0.048,0.02,0.109,0.06
3018,33_2_23_p1,0.044,0.017,0.093,0.041
3019,33_2_24_p1,0.046,0.028,0.108,0.086
3021,33_2_26_p1,0.043,0.006,0.101,0.029
3050,33_2_63_p1,0.048,0.022,0.129,0.079
3053,33_2_66_p1,0.046,0.02,0.112,0.064
3066,33_2_80_p0,0.045,0.018,0.103,0.047
3067,33_2_81_p0,0.043,0.016,0.094,0.043
3068,33_2_82_p0,0.041,0.007,0.071,0.008
3072,33_2_86_p0,0.042,0.02,0.091,0.052
3076,33_2_8_p0,0.05,0.014,0.105,0.038
3084,33_2_9_p0,0.048,0.019,0.097,0.042
3116,34_1_48_p1,0.049,0.015,0.115,0.042
3119,34_1_50_p1,0.041,0.009,0.102,0.037
3161,34_2_50_p0,0.042,0.026,0.097,0.076
3163,34_2_52_p0,0.043,0.022,0.094,0.049
3166,34_2_55_p0,0.063,0.022,0.163,0.071
3179,34_2_70_p1,0.045,0.012,0.121,0.037
3180,34_2_73_p0,0.041,0.013,0.094,0.04
3181,34_2_74_p0,0.046,0.039,0.12,0.137
3187,34_2_7_p0,0.041,0.018,0.09,0.049
3199,34_2_92_p1,0.077,0.025,0.149,0.04
3218,35_2_16_p0,0.062,0.032,0.154,0.085
3221,35_2_22_p1,0.051,0.014,0.122,0.042
3222,35_2_23_p1,0.054,0.016,0.125,0.045
3231,35_2_32_p1,0.052,0.03,0.12,0.082
3237,35_2_41_p0,0.085,0.03,0.218,0.093
3240,35_2_44_p0,0.047,0.021,0.115,0.052
3242,35_2_46_p0,0.05,0.042,0.097,0.07
3245,35_2_54_p1,0.058,0.023,0.123,0.054
3253,35_2_62_p1,0.075,0.022,0.152,0.043
3293,36_1_5_p0,0.055,0.02,0.128,0.054
3330,36_2_13_p0,0.06,0.032,0.128,0.089
3380,36_2_rein_50_p0,0.046,0.017,0.093,0.041
3392,36_2_rein_62_p0,0.044,0.013,0.091,0.041
3395,36_2_rein_65_p0,0.05,0.027,0.101,0.057
3410,36_2_rein_90_p0,0.069,0.045,0.123,0.073
3411,36_2_rein_91_p0,0.047,0.018,0.111,0.067
3413,36_2_rein_93_p0,0.082,0.027,0.182,0.069
3414,36_2_rein_94_p0,0.051,0.036,0.102,0.061
3419,36_2_rein_99_p0,0.042,0.015,0.087,0.047
3421,37_1_12_p1,0.052,0.037,0.123,0.1
3423,37_1_14_p1,0.054,0.024,0.143,0.086
3426,37_1_17_p1,0.041,0.03,0.1,0.117
3443,37_1_39_p0,0.043,0.013,0.107,0.046
3444,37_1_3_p0,0.041,0.016,0.092,0.049
3448,37_1_43_p0,0.051,0.018,0.144,0.071
3468,37_2_106_p1,0.041,0.01,0.092,0.047
3482,37_2_15_p0,0.043,0.015,0.105,0.049
3486,37_2_19_p0,0.042,0.008,0.101,0.038
3489,37_2_25_p1,0.042,0.012,0.096,0.038
3490,37_2_26_p1,0.059,0.033,0.146,0.093
3494,37_2_30_p1,0.061,0.031,0.138,0.08
3495,37_2_31_p1,0.048,0.014,0.108,0.042
3525,37_2_6_p0,0.043,0.017,0.104,0.051
3539,37_2_82_p1,0.048,0.005,0.11,0.017
3546,37_2_91_p0,0.053,0.018,0.124,0.052
3547,37_2_92_p0,0.049,0.023,0.112,0.06
3555,37_2_9_p0,0.042,0.014,0.09,0.036
3557,38_1_12_p1,0.045,0.018,0.101,0.051
3617,38_2_12_p0,0.045,0.011,0.108,0.037
3628,38_2_23_p0,0.048,0.019,0.115,0.064
3644,38_2_46_p0,0.05,0.026,0.12,0.072
3652,38_2_54_p0,0.048,0.018,0.112,0.049
3657,38_2_62_p1,0.042,0.019,0.092,0.051
3661,38_2_66_p1,0.068,0.024,0.155,0.056
3708,39_1_32_p1,0.045,0.018,0.11,0.061
3736,39_2_102_p1,0.076,0.028,0.197,0.082
3737,39_2_103_p1,0.075,0.021,0.171,0.047
3741,39_2_107_p1,0.05,0.023,0.124,0.06
3748,39_2_113_p1,0.045,0.022,0.096,0.042
3796,39_2_71_p1,0.07,0.025,0.18,0.078
3797,39_2_72_p1,0.056,0.012,0.134,0.047
3798,39_2_73_p1,0.046,0.025,0.108,0.081
3801,39_2_76_p1,0.05,0.035,0.112,0.094
3807,39_2_81_p1,0.055,0.015,0.137,0.054
3809,39_2_88_p0,0.041,0.016,0.104,0.051
3819,39_2_97_p0,0.045,0.019,0.117,0.063
3833,3_1_25_p0,0.041,0.012,0.105,0.053
3840,3_1_33_p1,0.041,0.015,0.094,0.043
3843,3_1_38_p0,0.042,0.01,0.086,0.027
3844,3_1_39_p0,0.042,0.015,0.099,0.053
3846,3_1_40_p0,0.053,0.02,0.132,0.061
3848,3_1_42_p0,0.044,0.012,0.107,0.052
3849,3_1_43_p0,0.045,0.028,0.091,0.057
3857,3_1_52_p1,0.048,0.028,0.117,0.088
3869,3_2_14_p0,0.056,0.027,0.147,0.087
3890,3_2_43_p0,0.046,0.012,0.102,0.046
3891,3_2_44_p0,0.053,0.027,0.11,0.052
3892,3_2_45_p0,0.049,0.022,0.111,0.057
3893,3_2_46_p0,0.043,0.02,0.104,0.047
3896,3_2_49_p0,0.048,0.018,0.1,0.038
3901,3_2_53_p0,0.044,0.021,0.101,0.053
3903,3_2_58_p1,0.045,0.021,0.102,0.058
3911,3_2_65_p1,0.045,0.019,0.107,0.051
3913,3_2_67_p1,0.042,0.008,0.088,0.029
3915,3_2_71_p0,0.079,0.041,0.167,0.087
3917,3_2_73_p0,0.044,0.015,0.119,0.055
3918,3_2_74_p0,0.082,0.028,0.201,0.079
3919,3_2_75_p0,0.053,0.025,0.12,0.069
3920,3_2_76_p0,0.048,0.022,0.113,0.072
3923,3_2_79_p0,0.044,0.012,0.106,0.045
3925,3_2_80_p0,0.059,0.017,0.136,0.028
3935,3_2_92_p1,0.046,0.021,0.112,0.064
3936,3_2_93_p1,0.055,0.016,0.143,0.044
3938,3_2_9_p0,0.043,0.026,0.096,0.061
3945,40_1_17_p1,0.115,0.284,0.339,0.901
3949,40_1_23_p0,0.064,0.033,0.156,0.096
3953,40_1_29_p1,0.041,0.007,0.081,0.023
3963,40_1_3_p0,0.041,0.005,0.078,0.012
3986,40_2_103_p1,0.061,0.029,0.156,0.087
3988,40_2_105_p1,0.043,0.034,0.096,0.094
3995,40_2_12_p0,0.046,0.024,0.095,0.041
3996,40_2_13_p0,0.041,0.021,0.093,0.069
3998,40_2_15_p0,0.045,0.018,0.105,0.061
4013,40_2_34_p1,0.043,0.015,0.105,0.057
4016,40_2_37_p1,0.049,0.016,0.109,0.05
4023,40_2_46_p0,0.041,0.008,0.081,0.019
4032,40_2_54_p0,0.051,0.02,0.111,0.059
4060,40_2_88_p0,0.041,0.015,0.085,0.032
4081,41_1_25_p0,0.041,0.022,0.08,0.044
4163,41_2_6_p0,0.041,0.011,0.103,0.036
4181,41_2_89_p1,0.046,0.025,0.103,0.066
4183,41_2_90_p1,0.045,0.025,0.099,0.064
4282,45_1_11_p1,0.077,0.016,0.162,0.048
4284,45_1_13_p1,0.048,0.024,0.107,0.06
4306,45_1_3_p0,0.071,0.043,0.246,0.209
4329,45_2_106_p1,0.045,0.007,0.097,0.029
4335,45_2_111_p1,0.041,0.022,0.09,0.061
4372,45_2_51_p0,0.045,0.022,0.094,0.051
4373,45_2_52_p0,0.041,0.02,0.098,0.074
4377,45_2_56_p0,0.044,0.006,0.107,0.026
4419,46_1_11_p1,0.046,0.012,0.106,0.043
4423,46_1_15_p1,0.043,0.012,0.108,0.05
4424,46_1_16_p1,0.041,0.015,0.089,0.052
4431,46_1_25_p0,0.044,0.011,0.094,0.028
4433,46_1_29_p1,0.041,0.004,0.086,0.014
4435,46_1_30_p1,0.048,0.017,0.111,0.051
4438,46_1_33_p1,0.075,0.057,0.144,0.103
4451,46_1_49_p1,0.046,0.017,0.111,0.06
4452,46_1_4_p0,0.043,0.029,0.095,0.079
