pcnfolder,mean_marker_error_RMS,sd_marker_error_RMS,mean_marker_error_max,sd_marker_error_max
58_1_32_p1,0.027,0.001,0.049,0.008
58_1_33_p1,0.026,0.001,0.047,0.005
58_1_34_p1,0.027,0.001,0.049,0.004
58_1_35_p1,0.026,0.001,0.045,0.004
58_1_38_p0,0.027,0.002,0.058,0.005
58_1_39_p0,0.025,0.002,0.057,0.011
58_1_3_p0,0.027,0.002,0.07,0.007
58_1_40_p0,0.025,0.003,0.057,0.012
58_1_41_p0,0.03,0.002,0.063,0.008
58_1_42_p0,0.028,0.003,0.054,0.009
58_1_43_p0,0.029,0.004,0.065,0.018
58_1_44_p0,0.05,0.032,0.118,0.079
58_1_47_p1,0.032,0.004,0.069,0.018
58_1_48_p1,0.028,0.002,0.054,0.007
58_1_49_p1,0.028,0.001,0.057,0.007
58_1_4_p0,0.031,0.005,0.072,0.023
58_1_50_p1,0.031,0.005,0.066,0.015
58_1_51_p1,0.031,0.002,0.061,0.011
58_1_52_p1,0.031,0.004,0.062,0.015
58_1_53_p1,0.031,0.003,0.064,0.012
58_1_5_p0,0.025,0.002,0.068,0.007
58_1_6_p0,0.031,0.003,0.072,0.011
58_1_7_p0,0.029,0.003,0.064,0.005
58_1_8_p0,0.033,0.004,0.077,0.015
58_1_tpose_p0,0.028,0.001,0.061,0.004
58_1_tpose_p1,0.032,0.001,0.063,0.003
58_2_100_p1,0.028,0.001,0.052,0.008
58_2_101_p1,0.028,0.001,0.05,0.004
58_2_102_p1,0.028,0.002,0.053,0.006
58_2_103_p1,0.027,0.001,0.051,0.005
58_2_104_p1,0.028,0.001,0.05,0.004
58_2_105_p1,0.032,0.002,0.066,0.01
58_2_106_p1,0.029,0.002,0.052,0.005
58_2_107_p1,0.027,0.002,0.054,0.007
58_2_108_p1,0.027,0.002,0.05,0.008
58_2_109_p1,0.028,0.002,0.05,0.006
58_2_10_p0,0.029,0.003,0.062,0.009
58_2_11_p0,0.028,0.002,0.061,0.009
58_2_12_p0,0.027,0.002,0.064,0.006
58_2_13_p0,0.03,0.002,0.061,0.008
58_2_14_p0,0.031,0.005,0.064,0.018
58_2_19_p1,0.027,0.004,0.06,0.012
58_2_20_p1,0.028,0.003,0.065,0.013
58_2_21_p1,0.027,0.002,0.053,0.008
58_2_22_p1,0.034,0.007,0.076,0.027
58_2_23_p1,0.048,0.025,0.114,0.07
58_2_24_p1,0.047,0.029,0.106,0.069
58_2_25_p1,0.03,0.003,0.063,0.014
58_2_26_p1,0.03,0.002,0.059,0.011
58_2_27_p1,0.031,0.003,0.068,0.011
58_2_28_p1,0.035,0.003,0.086,0.013
58_2_29_p1,0.042,0.027,0.094,0.072
58_2_2_p0,0.029,0.002,0.06,0.008
58_2_30_p1,0.047,0.033,0.101,0.082
58_2_31_p1,0.048,0.018,0.114,0.048
58_2_32_p1,0.029,0.002,0.054,0.007
58_2_33_p1,0.034,0.011,0.075,0.031
58_2_37_p0,0.026,0.003,0.059,0.011
58_2_38_p0,0.028,0.003,0.058,0.008
58_2_39_p0,0.07,0.031,0.178,0.083
58_2_3_p0,0.026,0.003,0.057,0.011
58_2_40_p0,0.026,0.003,0.054,0.01
58_2_41_p0,0.032,0.005,0.073,0.027
58_2_42_p0,0.03,0.005,0.064,0.019
58_2_43_p0,0.03,0.005,0.066,0.019
58_2_44_p0,0.03,0.005,0.062,0.015
58_2_45_p0,0.049,0.025,0.118,0.071
58_2_46_p0,0.028,0.003,0.059,0.008
58_2_47_p0,0.029,0.003,0.055,0.007
58_2_48_p0,0.028,0.005,0.061,0.02
58_2_49_p0,0.031,0.005,0.069,0.02
58_2_4_p0,0.027,0.003,0.057,0.012
58_2_54_p1,0.035,0.006,0.077,0.017
58_2_55_p1,0.029,0.005,0.059,0.011
58_2_56_p1,0.031,0.002,0.066,0.013
58_2_57_p1,0.034,0.003,0.065,0.011
58_2_58_p1,0.028,0.002,0.051,0.007
58_2_59_p1,0.028,0.002,0.052,0.008
58_2_5_p0,0.029,0.003,0.063,0.011
58_2_60_p1,0.05,0.025,0.109,0.057
58_2_61_p1,0.03,0.002,0.055,0.005
58_2_62_p1,0.039,0.006,0.088,0.02
58_2_63_p1,0.03,0.003,0.059,0.009
58_2_64_p1,0.033,0.008,0.075,0.028
58_2_65_p1,0.028,0.001,0.052,0.008
58_2_6_p0,0.027,0.003,0.061,0.014
58_2_72_p0,0.033,0.005,0.068,0.015
58_2_73_p0,0.025,0.002,0.048,0.009
58_2_74_p0,0.032,0.006,0.073,0.021
58_2_75_p0,0.028,0.003,0.056,0.009
58_2_76_p0,0.025,0.003,0.054,0.014
58_2_77_p0,0.026,0.003,0.05,0.009
58_2_78_p0,0.027,0.003,0.052,0.01
58_2_79_p0,0.027,0.003,0.054,0.009
58_2_7_p0,0.043,0.03,0.093,0.072
58_2_80_p0,0.024,0.002,0.053,0.004
58_2_81_p0,0.029,0.003,0.059,0.011
58_2_82_p0,0.025,0.002,0.05,0.009
58_2_83_p0,0.028,0.003,0.059,0.011
58_2_84_p0,0.026,0.001,0.052,0.007
58_2_85_p0,0.027,0.002,0.058,0.013
58_2_86_p0,0.028,0.002,0.066,0.014
58_2_87_p0,0.026,0.002,0.057,0.012
58_2_88_p0,0.055,0.022,0.129,0.065
58_2_8_p0,0.027,0.003,0.057,0.006
58_2_92_p1,0.032,0.004,0.066,0.016
58_2_93_p1,0.035,0.005,0.07,0.012
58_2_94_p1,0.029,0.001,0.054,0.002
58_2_95_p1,0.027,0.001,0.05,0.004
58_2_96_p1,0.027,0.001,0.05,0.005
58_2_97_p1,0.028,0.002,0.051,0.007
58_2_98_p1,0.028,0.002,0.053,0.008
58_2_99_p1,0.027,0.002,0.051,0.005
58_2_9_p0,0.032,0.004,0.066,0.012
59_1_11_p1,0.032,0.004,0.066,0.014
59_1_12_p1,0.03,0.004,0.061,0.011
59_1_13_p1,0.031,0.005,0.063,0.008
59_1_14_p1,0.029,0.003,0.055,0.006
59_1_15_p1,0.029,0.003,0.059,0.007
59_1_16_p1,0.03,0.007,0.06,0.021
59_1_17_p1,0.026,0.002,0.054,0.005
59_1_20_p0,0.027,0.001,0.054,0.008
59_1_21_p0,0.026,0.002,0.05,0.01
59_1_22_p0,0.027,0.001,0.048,0.003
59_1_23_p0,0.028,0.002,0.051,0.007
59_1_24_p0,0.025,0.003,0.048,0.009
59_1_25_p0,0.028,0.004,0.054,0.015
59_1_26_p0,0.027,0.003,0.05,0.011
59_1_29_p1,0.031,0.004,0.059,0.009
59_1_2_p0,0.028,0.002,0.051,0.008
59_1_30_p1,0.029,0.003,0.057,0.012
59_1_31_p1,0.03,0.003,0.061,0.015
59_1_32_p1,0.03,0.002,0.055,0.011
59_1_33_p1,0.032,0.003,0.058,0.007
59_1_34_p1,0.029,0.003,0.056,0.005
59_1_35_p1,0.029,0.002,0.049,0.005
59_1_38_p0,0.032,0.009,0.07,0.032
59_1_39_p0,0.03,0.004,0.059,0.011
59_1_3_p0,0.028,0.002,0.053,0.008
59_1_40_p0,0.032,0.004,0.069,0.01
59_1_41_p0,0.028,0.002,0.051,0.01
59_1_42_p0,0.032,0.006,0.073,0.026
59_1_43_p0,0.03,0.004,0.06,0.013
59_1_44_p0,0.029,0.005,0.063,0.02
59_1_47_p1,0.027,0.002,0.058,0.007
59_1_48_p1,0.03,0.003,0.066,0.009
59_1_49_p1,0.033,0.011,0.072,0.034
59_1_4_p0,0.025,0.001,0.047,0.005
59_1_50_p1,0.029,0.002,0.059,0.005
59_1_51_p1,0.032,0.004,0.068,0.011
59_1_52_p1,0.035,0.007,0.081,0.027
59_1_53_p1,0.03,0.004,0.06,0.014
59_1_5_p0,0.032,0.004,0.064,0.012
59_1_6_p0,0.034,0.008,0.075,0.031
59_1_7_p0,0.029,0.002,0.055,0.007
59_1_8_p0,0.032,0.003,0.061,0.009
59_1_tpose_p0,0.027,0.001,0.052,0.005
59_1_tpose_p1,0.027,0.001,0.048,0.004
59_2_100_p1,0.032,0.004,0.064,0.013
59_2_10_p0,0.03,0.003,0.068,0.019
59_2_11_p0,0.03,0.005,0.057,0.018
59_2_12_p0,0.03,0.003,0.055,0.009
59_2_15_p1,0.028,0.002,0.059,0.012
59_2_16_p1,0.035,0.006,0.08,0.025
59_2_17_p1,0.028,0.001,0.052,0.003
59_2_18_p1,0.026,0.003,0.062,0.006
59_2_19_p1,0.031,0.003,0.067,0.019
59_2_20_p1,0.031,0.003,0.062,0.011
59_2_21_p1,0.04,0.007,0.085,0.032
59_2_22_p1,0.036,0.004,0.073,0.017
59_2_23_p1,0.032,0.003,0.064,0.007
59_2_30_p0,0.028,0.002,0.055,0.009
59_2_31_p0,0.027,0.002,0.05,0.006
59_2_32_p0,0.029,0.003,0.056,0.01
59_2_33_p0,0.024,0.002,0.044,0.005
59_2_34_p0,0.028,0.004,0.053,0.014
59_2_35_p0,0.029,0.002,0.056,0.008
59_2_36_p0,0.026,0.002,0.048,0.005
59_2_37_p0,0.028,0.002,0.052,0.008
59_2_38_p0,0.028,0.002,0.054,0.009
59_2_39_p0,0.027,0.002,0.055,0.003
59_2_3_p0,0.029,0.002,0.067,0.013
59_2_40_p0,0.027,0.002,0.049,0.01
59_2_41_p0,0.027,0.001,0.055,0.004
59_2_42_p0,0.029,0.004,0.055,0.013
59_2_43_p0,0.027,0.002,0.05,0.004
59_2_44_p0,0.027,0.003,0.051,0.007
59_2_4_p0,0.03,0.003,0.06,0.014
59_2_51_p1,0.032,0.002,0.056,0.005
59_2_52_p1,0.034,0.004,0.066,0.013
59_2_53_p1,0.033,0.004,0.059,0.008
59_2_54_p1,0.03,0.002,0.054,0.005
59_2_55_p1,0.028,0.002,0.054,0.005
59_2_56_p1,0.035,0.004,0.063,0.009
59_2_57_p1,0.036,0.003,0.067,0.009
59_2_58_p1,0.03,0.002,0.057,0.011
59_2_59_p1,0.031,0.004,0.063,0.012
59_2_5_p0,0.034,0.005,0.07,0.02
59_2_60_p1,0.028,0.004,0.053,0.015
59_2_61_p1,0.031,0.003,0.066,0.015
59_2_62_p1,0.029,0.003,0.056,0.012
59_2_63_p1,0.032,0.004,0.062,0.019
59_2_64_p1,0.03,0.003,0.065,0.016
59_2_65_p1,0.031,0.002,0.06,0.007
59_2_66_p1,0.03,0.002,0.056,0.007
59_2_67_p1,0.031,0.003,0.054,0.009
59_2_6_p0,0.032,0.003,0.064,0.009
59_2_72_p0,0.029,0.002,0.057,0.011
59_2_73_p0,0.03,0.004,0.06,0.015
59_2_74_p0,0.034,0.005,0.067,0.016
59_2_75_p0,0.033,0.003,0.07,0.018
59_2_76_p0,0.031,0.003,0.061,0.012
59_2_77_p0,0.033,0.007,0.075,0.028
59_2_78_p0,0.03,0.003,0.06,0.012
59_2_79_p0,0.035,0.005,0.078,0.03
59_2_7_p0,0.03,0.003,0.061,0.015
59_2_80_p0,0.043,0.012,0.103,0.05
59_2_81_p0,0.032,0.01,0.071,0.043
59_2_82_p0,0.032,0.002,0.06,0.008
59_2_83_p0,0.04,0.025,0.106,0.124
59_2_87_p1,0.033,0.003,0.066,0.009
59_2_88_p1,0.035,0.006,0.074,0.024
59_2_89_p1,0.031,0.006,0.064,0.023
59_2_8_p0,0.034,0.004,0.065,0.007
59_2_90_p1,0.035,0.005,0.073,0.02
59_2_91_p1,0.043,0.017,0.107,0.053
59_2_92_p1,0.03,0.005,0.067,0.019
59_2_93_p1,0.034,0.01,0.075,0.038
59_2_94_p1,0.027,0.004,0.056,0.018
59_2_95_p1,0.035,0.005,0.07,0.016
59_2_96_p1,0.028,0.007,0.062,0.027
59_2_97_p1,0.029,0.003,0.061,0.016
59_2_98_p1,0.027,0.002,0.052,0.008
59_2_99_p1,0.029,0.003,0.056,0.011
59_2_9_p0,0.032,0.004,0.067,0.016
5_1_11_p1,0.046,0.023,0.101,0.063
5_1_12_p1,0.04,0.021,0.083,0.058
5_1_13_p1,0.059,0.016,0.152,0.053
5_1_14_p1,0.06,0.015,0.14,0.051
5_1_15_p1,0.034,0.008,0.068,0.023
5_1_16_p1,0.038,0.013,0.073,0.03
5_1_17_p1,0.06,0.021,0.125,0.046
5_1_20_p0,0.025,0.002,0.045,0.003
5_1_21_p0,0.025,0.003,0.042,0.005
5_1_22_p0,0.025,0.002,0.041,0.005
5_1_23_p0,0.024,0.001,0.045,0.006
5_1_24_p0,0.025,0.002,0.046,0.006
5_1_25_p0,0.022,0.002,0.038,0.008
5_1_26_p0,0.024,0.002,0.045,0.007
5_1_29_p1,0.034,0.004,0.061,0.01
5_1_2_p0,0.028,0.006,0.055,0.019
5_1_30_p1,0.037,0.005,0.06,0.008
5_1_31_p1,0.034,0.002,0.054,0.005
5_1_32_p1,0.034,0.004,0.06,0.012
5_1_33_p1,0.036,0.004,0.068,0.01
5_1_34_p1,0.034,0.002,0.062,0.005
5_1_35_p1,0.035,0.003,0.059,0.006
5_1_38_p0,0.03,0.009,0.065,0.028
5_1_39_p0,0.039,0.017,0.089,0.056
5_1_3_p0,0.03,0.005,0.062,0.013
5_1_40_p0,0.03,0.007,0.069,0.024
5_1_41_p0,0.035,0.01,0.078,0.034
5_1_42_p0,0.033,0.004,0.071,0.02
5_1_43_p0,0.032,0.003,0.063,0.009
5_1_44_p0,0.033,0.007,0.073,0.027
5_1_47_p1,0.069,0.023,0.159,0.065
5_1_48_p1,0.073,0.028,0.138,0.055
5_1_49_p1,0.034,0.008,0.07,0.019
5_1_4_p0,0.025,0.001,0.044,0.006
5_1_50_p1,0.037,0.016,0.072,0.05
5_1_51_p1,0.047,0.013,0.092,0.035
5_1_52_p1,0.052,0.024,0.114,0.071
5_1_53_p1,0.055,0.016,0.125,0.046
5_1_5_p0,0.026,0.002,0.049,0.01
5_1_6_p0,0.04,0.027,0.089,0.07
5_1_7_p0,0.028,0.003,0.05,0.006
5_1_8_p0,0.025,0.005,0.057,0.019
5_1_tpose_p0,0.03,0.002,0.058,0.007
5_1_tpose_p1,0.03,0.003,0.056,0.008
5_2_100_p1,0.041,0.008,0.104,0.039
5_2_101_p1,0.035,0.003,0.061,0.007
5_2_102_p1,0.036,0.003,0.061,0.009
5_2_10_p0,0.03,0.006,0.059,0.02
5_2_11_p0,0.034,0.006,0.066,0.01
5_2_12_p0,0.035,0.007,0.075,0.024
5_2_13_p0,0.074,0.032,0.173,0.08
5_2_14_p0,0.029,0.003,0.06,0.008
5_2_15_p0,0.028,0.003,0.057,0.007
5_2_16_p0,0.031,0.003,0.064,0.012
5_2_17_p0,0.026,0.004,0.053,0.018
5_2_20_p1,0.053,0.016,0.117,0.052
5_2_21_p1,0.062,0.022,0.137,0.06
5_2_22_p1,0.036,0.003,0.067,0.009
5_2_23_p1,0.05,0.015,0.104,0.055
5_2_24_p1,0.043,0.016,0.088,0.04
5_2_25_p1,0.028,0.005,0.057,0.017
5_2_26_p1,0.033,0.008,0.066,0.017
5_2_27_p1,0.066,0.035,0.152,0.096
5_2_28_p1,0.034,0.004,0.059,0.012
5_2_29_p1,0.063,0.02,0.15,0.06
5_2_30_p1,0.057,0.023,0.128,0.068
5_2_31_p1,0.049,0.031,0.107,0.085
5_2_32_p1,0.045,0.026,0.095,0.077
5_2_33_p1,0.056,0.023,0.131,0.05
5_2_34_p1,0.048,0.012,0.119,0.048
5_2_35_p1,0.033,0.006,0.072,0.017
5_2_3_p0,0.034,0.018,0.083,0.055
5_2_40_p0,0.031,0.005,0.067,0.013
5_2_41_p0,0.029,0.005,0.058,0.009
5_2_42_p0,0.03,0.003,0.06,0.007
5_2_43_p0,0.026,0.005,0.055,0.019
5_2_44_p0,0.039,0.007,0.086,0.017
5_2_45_p0,0.032,0.007,0.065,0.015
5_2_46_p0,0.028,0.002,0.057,0.006
5_2_47_p0,0.031,0.006,0.064,0.017
5_2_48_p0,0.033,0.01,0.077,0.041
5_2_49_p0,0.031,0.006,0.067,0.019
5_2_4_p0,0.031,0.005,0.065,0.019
5_2_50_p0,0.029,0.004,0.061,0.016
5_2_51_p0,0.029,0.004,0.062,0.012
5_2_54_p1,0.05,0.016,0.118,0.047
5_2_55_p1,0.04,0.022,0.08,0.049
5_2_56_p1,0.061,0.019,0.129,0.05
5_2_57_p1,0.052,0.031,0.109,0.081
5_2_58_p1,0.068,0.026,0.146,0.054
5_2_59_p1,0.046,0.028,0.097,0.08
5_2_5_p0,0.027,0.004,0.058,0.012
5_2_60_p1,0.036,0.006,0.079,0.022
5_2_61_p1,0.056,0.027,0.127,0.077
5_2_62_p1,0.053,0.022,0.11,0.065
5_2_63_p1,0.046,0.016,0.105,0.049
5_2_68_p0,0.027,0.004,0.059,0.017
5_2_69_p0,0.052,0.023,0.142,0.095
5_2_6_p0,0.035,0.006,0.076,0.029
5_2_70_p0,0.025,0.003,0.052,0.005
5_2_71_p0,0.025,0.001,0.045,0.007
5_2_72_p0,0.026,0.003,0.049,0.008
5_2_73_p0,0.026,0.003,0.05,0.012
5_2_74_p0,0.029,0.003,0.065,0.008
5_2_75_p0,0.039,0.014,0.08,0.031
5_2_76_p0,0.027,0.004,0.056,0.014
5_2_77_p0,0.027,0.004,0.06,0.016
5_2_78_p0,0.026,0.002,0.049,0.01
5_2_79_p0,0.027,0.003,0.068,0.023
5_2_7_p0,0.027,0.004,0.055,0.013
5_2_80_p0,0.027,0.002,0.048,0.009
5_2_81_p0,0.033,0.004,0.062,0.012
5_2_82_p0,0.027,0.001,0.049,0.01
5_2_83_p0,0.028,0.002,0.057,0.009
5_2_84_p0,0.027,0.002,0.052,0.014
5_2_85_p0,0.027,0.002,0.052,0.013
5_2_8_p0,0.027,0.003,0.054,0.011
5_2_92_p1,0.035,0.002,0.064,0.009
5_2_93_p1,0.035,0.003,0.06,0.009
5_2_94_p1,0.036,0.003,0.067,0.008
5_2_95_p1,0.037,0.002,0.065,0.01
5_2_96_p1,0.035,0.002,0.057,0.005
5_2_97_p1,0.033,0.002,0.061,0.008
5_2_98_p1,0.034,0.002,0.061,0.006
5_2_99_p1,0.034,0.002,0.058,0.004
5_2_9_p0,0.028,0.003,0.052,0.01
60_1_11_p1,0.026,0.002,0.051,0.005
60_1_12_p1,0.024,0.002,0.046,0.006
60_1_13_p1,0.026,0.002,0.051,0.006
60_1_14_p1,0.025,0.001,0.046,0.005
60_1_15_p1,0.025,0.002,0.053,0.008
60_1_16_p1,0.026,0.003,0.059,0.018
60_1_17_p1,0.024,0.002,0.042,0.007
60_1_20_p0,0.042,0.019,0.098,0.062
60_1_21_p0,0.033,0.008,0.074,0.029
60_1_22_p0,0.035,0.017,0.084,0.053
60_1_23_p0,0.041,0.017,0.097,0.049
60_1_24_p0,0.027,0.004,0.05,0.01
60_1_25_p0,0.032,0.014,0.071,0.043
60_1_26_p0,0.041,0.029,0.078,0.049
60_1_29_p1,0.026,0.002,0.069,0.014
60_1_2_p0,0.031,0.002,0.056,0.005
60_1_30_p1,0.021,0.003,0.043,0.011
60_1_31_p1,0.025,0.004,0.049,0.008
60_1_32_p1,0.025,0.003,0.052,0.01
60_1_33_p1,0.031,0.009,0.071,0.025
60_1_34_p1,0.026,0.005,0.058,0.022
60_1_35_p1,0.027,0.005,0.058,0.016
60_1_38_p0,0.031,0.007,0.064,0.014
60_1_39_p0,0.031,0.005,0.071,0.022
60_1_3_p0,0.032,0.004,0.065,0.022
60_1_40_p0,0.033,0.008,0.067,0.027
60_1_41_p0,0.034,0.016,0.066,0.032
60_1_42_p0,0.034,0.006,0.066,0.02
60_1_43_p0,0.029,0.004,0.062,0.021
60_1_44_p0,0.035,0.009,0.071,0.022
60_1_47_p1,0.024,0.002,0.048,0.004
60_1_48_p1,0.031,0.004,0.07,0.016
60_1_49_p1,0.027,0.005,0.059,0.019
60_1_4_p0,0.031,0.003,0.055,0.004
60_1_50_p1,0.029,0.004,0.057,0.012
60_1_51_p1,0.033,0.005,0.076,0.017
60_1_52_p1,0.032,0.017,0.077,0.058
60_1_53_p1,0.034,0.006,0.09,0.028
60_1_5_p0,0.029,0.003,0.055,0.008
60_1_6_p0,0.032,0.004,0.061,0.019
60_1_7_p0,0.033,0.01,0.065,0.025
60_1_8_p0,0.032,0.006,0.064,0.024
60_1_tpose_p0,0.032,0.001,0.055,0.003
60_1_tpose_p1,0.026,0.002,0.056,0.008
60_2_100_p1,0.03,0.004,0.07,0.019
60_2_101_p1,0.03,0.005,0.07,0.024
60_2_102_p1,0.032,0.006,0.073,0.024
60_2_103_p1,0.029,0.004,0.062,0.014
60_2_104_p1,0.032,0.004,0.067,0.019
60_2_105_p1,0.038,0.016,0.092,0.044
60_2_106_p1,0.026,0.002,0.048,0.006
60_2_107_p1,0.038,0.01,0.076,0.026
60_2_108_p1,0.029,0.004,0.061,0.02
60_2_109_p1,0.028,0.003,0.059,0.01
60_2_10_p0,0.036,0.012,0.078,0.03
60_2_110_p1,0.025,0.002,0.049,0.006
60_2_11_p0,0.04,0.013,0.098,0.062
60_2_12_p0,0.051,0.03,0.111,0.077
60_2_13_p0,0.034,0.004,0.067,0.014
60_2_14_p0,0.033,0.005,0.071,0.02
60_2_21_p1,0.027,0.004,0.066,0.018
60_2_22_p1,0.026,0.004,0.056,0.011
60_2_23_p1,0.04,0.017,0.112,0.044
60_2_24_p1,0.024,0.004,0.051,0.013
60_2_25_p1,0.022,0.002,0.042,0.007
60_2_26_p1,0.026,0.005,0.06,0.024
60_2_27_p1,0.044,0.019,0.113,0.052
60_2_28_p1,0.042,0.018,0.112,0.059
60_2_29_p1,0.028,0.008,0.066,0.032
60_2_30_p1,0.023,0.004,0.049,0.013
60_2_31_p1,0.024,0.003,0.052,0.02
60_2_32_p1,0.031,0.006,0.063,0.012
60_2_37_p0,0.032,0.004,0.062,0.009
60_2_38_p0,0.032,0.003,0.063,0.015
60_2_39_p0,0.031,0.004,0.058,0.007
60_2_3_p0,0.03,0.003,0.064,0.014
60_2_40_p0,0.031,0.003,0.06,0.011
60_2_41_p0,0.031,0.004,0.059,0.011
60_2_42_p0,0.033,0.003,0.065,0.016
60_2_43_p0,0.032,0.005,0.064,0.021
60_2_44_p0,0.031,0.004,0.066,0.016
60_2_45_p0,0.029,0.003,0.059,0.018
60_2_46_p0,0.029,0.003,0.058,0.013
60_2_47_p0,0.03,0.003,0.059,0.014
60_2_48_p0,0.029,0.003,0.056,0.008
60_2_49_p0,0.031,0.005,0.06,0.01
60_2_4_p0,0.033,0.004,0.068,0.016
60_2_50_p0,0.032,0.003,0.06,0.015
60_2_51_p0,0.031,0.003,0.06,0.015
60_2_52_p0,0.03,0.007,0.058,0.018
60_2_55_p1,0.021,0.002,0.043,0.007
60_2_56_p1,0.023,0.002,0.044,0.005
60_2_57_p1,0.024,0.002,0.045,0.008
60_2_58_p1,0.025,0.003,0.063,0.014
60_2_59_p1,0.026,0.003,0.061,0.018
60_2_5_p0,0.047,0.017,0.117,0.049
60_2_60_p1,0.022,0.002,0.045,0.007
60_2_61_p1,0.024,0.002,0.056,0.009
60_2_62_p1,0.027,0.002,0.057,0.006
60_2_63_p1,0.025,0.003,0.052,0.009
60_2_64_p1,0.03,0.006,0.071,0.017
60_2_65_p1,0.024,0.002,0.05,0.006
60_2_66_p1,0.024,0.002,0.056,0.007
60_2_67_p1,0.026,0.004,0.055,0.015
60_2_68_p1,0.026,0.002,0.06,0.008
60_2_69_p1,0.023,0.002,0.047,0.006
60_2_6_p0,0.033,0.006,0.078,0.031
60_2_70_p1,0.025,0.002,0.052,0.007
60_2_71_p1,0.027,0.002,0.054,0.009
60_2_72_p1,0.023,0.001,0.046,0.006
60_2_73_p1,0.024,0.004,0.051,0.012
60_2_78_p0,0.045,0.026,0.107,0.07
60_2_79_p0,0.027,0.006,0.064,0.025
60_2_7_p0,0.047,0.025,0.104,0.06
60_2_80_p0,0.044,0.023,0.104,0.065
60_2_81_p0,0.032,0.009,0.088,0.042
60_2_82_p0,0.044,0.028,0.104,0.071
60_2_83_p0,0.027,0.004,0.054,0.01
60_2_84_p0,0.036,0.016,0.075,0.034
60_2_85_p0,0.047,0.015,0.1,0.031
60_2_86_p0,0.033,0.013,0.075,0.042
60_2_87_p0,0.033,0.008,0.071,0.024
60_2_88_p0,0.029,0.004,0.058,0.01
60_2_89_p0,0.048,0.026,0.101,0.051
60_2_8_p0,0.034,0.008,0.07,0.021
60_2_90_p0,0.031,0.006,0.068,0.016
60_2_91_p0,0.026,0.003,0.056,0.012
60_2_92_p0,0.029,0.011,0.067,0.026
60_2_93_p0,0.033,0.013,0.082,0.046
60_2_94_p0,0.056,0.026,0.143,0.064
60_2_99_p1,0.026,0.003,0.06,0.016
60_2_9_p0,0.046,0.025,0.098,0.061
61_1_11_p1,0.027,0.005,0.053,0.013
61_1_12_p1,0.033,0.006,0.065,0.014
61_1_13_p1,0.031,0.004,0.06,0.017
61_1_14_p1,0.034,0.013,0.066,0.037
61_1_15_p1,0.029,0.003,0.051,0.008
61_1_16_p1,0.03,0.002,0.053,0.006
61_1_17_p1,0.033,0.006,0.067,0.02
61_1_20_p0,0.045,0.019,0.092,0.045
61_1_21_p0,0.031,0.004,0.059,0.012
61_1_22_p0,0.062,0.027,0.141,0.072
61_1_23_p0,0.044,0.018,0.096,0.053
61_1_24_p0,0.059,0.024,0.139,0.067
61_1_25_p0,0.051,0.02,0.116,0.054
61_1_26_p0,0.044,0.013,0.103,0.047
61_1_29_p1,0.056,0.022,0.137,0.07
61_1_2_p0,0.031,0.005,0.056,0.009
61_1_30_p1,0.034,0.011,0.071,0.039
61_1_31_p1,0.03,0.005,0.057,0.013
61_1_32_p1,0.033,0.005,0.072,0.025
61_1_33_p1,0.03,0.005,0.066,0.019
61_1_34_p1,0.027,0.003,0.052,0.008
61_1_35_p1,0.029,0.004,0.052,0.011
61_1_38_p0,0.03,0.002,0.056,0.009
61_1_39_p0,0.039,0.008,0.073,0.012
61_1_3_p0,0.034,0.004,0.075,0.023
61_1_40_p0,0.035,0.006,0.067,0.013
61_1_41_p0,0.034,0.004,0.061,0.009
61_1_42_p0,0.032,0.006,0.062,0.023
61_1_43_p0,0.037,0.008,0.08,0.025
61_1_44_p0,0.029,0.003,0.055,0.011
61_1_47_p1,0.031,0.003,0.056,0.009
61_1_48_p1,0.029,0.002,0.051,0.006
61_1_49_p1,0.037,0.019,0.079,0.051
61_1_4_p0,0.035,0.006,0.072,0.018
61_1_50_p1,0.028,0.002,0.054,0.009
61_1_51_p1,0.028,0.002,0.052,0.007
61_1_52_p1,0.031,0.002,0.058,0.01
61_1_53_p1,0.028,0.002,0.05,0.009
61_1_5_p0,0.035,0.007,0.066,0.018
61_1_6_p0,0.033,0.006,0.069,0.019
61_1_7_p0,0.039,0.01,0.096,0.048
61_1_8_p0,0.034,0.004,0.067,0.014
61_1_tpose_p0,0.032,0.001,0.054,0.003
61_1_tpose_p1,0.03,0.001,0.056,0.006
61_2_100_p1,0.037,0.006,0.066,0.013
61_2_101_p1,0.027,0.002,0.05,0.006
61_2_102_p1,0.053,0.021,0.112,0.05
61_2_103_p1,0.031,0.006,0.064,0.018
61_2_104_p1,0.027,0.005,0.054,0.019
61_2_105_p1,0.028,0.005,0.054,0.017
61_2_106_p1,0.029,0.005,0.059,0.017
61_2_107_p1,0.026,0.002,0.047,0.006
61_2_108_p1,0.027,0.003,0.05,0.006
61_2_109_p1,0.027,0.001,0.05,0.006
61_2_10_p0,0.038,0.008,0.083,0.025
61_2_110_p1,0.028,0.003,0.052,0.012
61_2_111_p1,0.03,0.005,0.059,0.019
61_2_11_p0,0.035,0.008,0.073,0.024
61_2_12_p0,0.052,0.024,0.123,0.073
61_2_13_p0,0.056,0.019,0.131,0.051
61_2_14_p0,0.054,0.024,0.12,0.061
61_2_15_p0,0.035,0.007,0.072,0.013
61_2_16_p0,0.04,0.021,0.092,0.071
61_2_17_p0,0.032,0.004,0.073,0.018
