pcnfolder,mean_marker_error_RMS,sd_marker_error_RMS,mean_marker_error_max,sd_marker_error_max
12_2_72_p1,0.023,0.001,0.038,0.003
12_2_73_p1,0.022,0.001,0.037,0.002
12_2_74_p1,0.023,0.001,0.041,0.004
12_2_75_p1,0.024,0.001,0.042,0.003
12_2_76_p1,0.023,0.001,0.038,0.004
12_2_77_p1,0.024,0.001,0.041,0.005
12_2_78_p1,0.023,0.001,0.04,0.004
12_2_79_p1,0.023,0.002,0.04,0.007
12_2_7_p0,0.027,0.005,0.056,0.017
12_2_80_p1,0.023,0.003,0.041,0.011
12_2_81_p1,0.024,0.002,0.043,0.009
12_2_86_p0,0.029,0.003,0.059,0.011
12_2_87_p0,0.038,0.015,0.082,0.039
12_2_88_p0,0.053,0.008,0.118,0.034
12_2_89_p0,0.057,0.028,0.128,0.075
12_2_8_p0,0.026,0.005,0.053,0.014
12_2_90_p0,0.027,0.006,0.057,0.016
12_2_91_p0,0.025,0.004,0.054,0.013
12_2_92_p0,0.025,0.003,0.047,0.007
12_2_93_p0,0.026,0.003,0.052,0.014
12_2_94_p0,0.03,0.003,0.062,0.009
12_2_95_p0,0.03,0.004,0.064,0.014
12_2_96_p0,0.029,0.003,0.053,0.011
12_2_97_p0,0.046,0.012,0.104,0.035
12_2_98_p0,0.026,0.002,0.053,0.004
12_2_9_p0,0.026,0.003,0.054,0.007
13_1_11_p1,0.029,0.001,0.054,0.005
13_1_12_p1,0.027,0.001,0.057,0.005
13_1_13_p1,0.03,0.002,0.055,0.005
13_1_14_p1,0.03,0.002,0.061,0.008
13_1_15_p1,0.029,0.002,0.06,0.006
13_1_16_p1,0.029,0.001,0.056,0.006
13_1_17_p1,0.027,0.002,0.056,0.007
13_1_20_p0,0.034,0.004,0.069,0.015
13_1_21_p0,0.04,0.007,0.093,0.029
13_1_22_p0,0.028,0.004,0.059,0.018
13_1_23_p0,0.041,0.027,0.084,0.048
13_1_24_p0,0.036,0.007,0.072,0.027
13_1_25_p0,0.031,0.005,0.065,0.023
13_1_26_p0,0.034,0.003,0.062,0.012
13_1_29_p1,0.039,0.005,0.079,0.021
13_1_2_p0,0.025,0.001,0.041,0.003
13_1_30_p1,0.033,0.004,0.073,0.021
13_1_31_p1,0.027,0.003,0.055,0.011
13_1_32_p1,0.036,0.003,0.07,0.008
13_1_33_p1,0.035,0.005,0.075,0.02
13_1_34_p1,0.041,0.018,0.085,0.055
13_1_35_p1,0.031,0.004,0.066,0.013
13_1_38_p0,0.053,0.034,0.12,0.089
13_1_39_p0,0.035,0.008,0.071,0.027
13_1_3_p0,0.026,0.001,0.042,0.006
13_1_40_p0,0.035,0.005,0.08,0.021
13_1_41_p0,0.035,0.007,0.08,0.024
13_1_42_p0,0.03,0.004,0.059,0.012
13_1_43_p0,0.031,0.005,0.062,0.017
13_1_44_p0,0.062,0.02,0.148,0.066
13_1_47_p1,0.036,0.006,0.086,0.033
13_1_48_p1,0.037,0.004,0.072,0.012
13_1_49_p1,0.042,0.014,0.093,0.057
13_1_4_p0,0.025,0.002,0.045,0.008
13_1_50_p1,0.057,0.025,0.144,0.078
13_1_51_p1,0.049,0.011,0.107,0.033
13_1_52_p1,0.045,0.021,0.114,0.066
13_1_53_p1,0.051,0.019,0.115,0.056
13_1_5_p0,0.026,0.001,0.043,0.007
13_1_6_p0,0.027,0.003,0.045,0.013
13_1_7_p0,0.026,0.001,0.042,0.003
13_1_8_p0,0.026,0.003,0.046,0.014
13_1_tpose_p0,0.028,0.001,0.049,0.003
13_1_tpose_p1,0.027,0.001,0.05,0.004
13_2_100_p1,0.031,0.004,0.057,0.01
13_2_101_p1,0.029,0.004,0.063,0.016
13_2_102_p1,0.028,0.004,0.059,0.011
13_2_103_p1,0.029,0.003,0.065,0.011
13_2_104_p1,0.032,0.006,0.067,0.022
13_2_105_p1,0.028,0.004,0.062,0.015
13_2_106_p1,0.069,0.037,0.152,0.092
13_2_107_p1,0.069,0.032,0.147,0.058
13_2_10_p0,0.029,0.009,0.059,0.026
13_2_11_p0,0.026,0.004,0.053,0.02
13_2_12_p0,0.03,0.014,0.056,0.034
13_2_13_p0,0.026,0.002,0.053,0.007
13_2_14_p0,0.027,0.008,0.055,0.02
13_2_15_p0,0.027,0.008,0.056,0.016
13_2_16_p0,0.026,0.005,0.053,0.018
13_2_17_p0,0.026,0.006,0.053,0.02
13_2_18_p0,0.028,0.005,0.05,0.015
13_2_19_p0,0.024,0.002,0.045,0.006
13_2_20_p0,0.027,0.003,0.053,0.015
13_2_21_p0,0.024,0.002,0.045,0.005
13_2_22_p0,0.026,0.005,0.051,0.017
13_2_23_p0,0.023,0.002,0.045,0.008
13_2_28_p1,0.031,0.01,0.067,0.039
13_2_29_p1,0.03,0.005,0.069,0.027
13_2_30_p1,0.029,0.004,0.055,0.01
13_2_31_p1,0.025,0.002,0.048,0.009
13_2_32_p1,0.026,0.002,0.046,0.006
13_2_33_p1,0.027,0.002,0.055,0.006
13_2_34_p1,0.026,0.002,0.047,0.005
13_2_35_p1,0.026,0.002,0.05,0.007
13_2_36_p1,0.026,0.002,0.048,0.007
13_2_37_p1,0.026,0.002,0.047,0.006
13_2_38_p1,0.029,0.002,0.054,0.01
13_2_39_p1,0.025,0.002,0.048,0.008
13_2_40_p1,0.027,0.003,0.048,0.008
13_2_41_p1,0.025,0.002,0.042,0.005
13_2_42_p1,0.032,0.007,0.075,0.027
13_2_43_p1,0.028,0.002,0.048,0.005
13_2_44_p1,0.027,0.002,0.055,0.012
13_2_45_p1,0.026,0.002,0.053,0.01
13_2_46_p1,0.028,0.002,0.054,0.005
13_2_51_p0,0.027,0.003,0.049,0.01
13_2_52_p0,0.029,0.003,0.064,0.011
13_2_53_p0,0.048,0.024,0.138,0.094
13_2_54_p0,0.031,0.008,0.069,0.031
13_2_55_p0,0.029,0.006,0.058,0.015
13_2_56_p0,0.05,0.028,0.114,0.069
13_2_57_p0,0.037,0.017,0.086,0.048
13_2_58_p0,0.027,0.005,0.06,0.022
13_2_59_p0,0.025,0.004,0.05,0.009
13_2_5_p0,0.027,0.003,0.053,0.008
13_2_60_p0,0.029,0.005,0.054,0.012
13_2_61_p0,0.027,0.004,0.053,0.013
13_2_66_p1,0.041,0.007,0.085,0.021
13_2_67_p1,0.035,0.008,0.069,0.018
13_2_68_p1,0.034,0.009,0.07,0.021
13_2_69_p1,0.03,0.004,0.061,0.012
13_2_6_p0,0.027,0.005,0.054,0.019
13_2_70_p1,0.04,0.008,0.09,0.029
13_2_71_p1,0.039,0.011,0.088,0.041
13_2_72_p1,0.053,0.019,0.113,0.068
13_2_73_p1,0.053,0.02,0.111,0.062
13_2_74_p1,0.045,0.017,0.114,0.052
13_2_75_p1,0.029,0.004,0.063,0.021
13_2_76_p1,0.029,0.005,0.062,0.021
13_2_7_p0,0.025,0.003,0.047,0.012
13_2_82_p0,0.034,0.008,0.078,0.034
13_2_83_p0,0.034,0.006,0.067,0.017
13_2_84_p0,0.033,0.005,0.073,0.021
13_2_85_p0,0.037,0.006,0.078,0.022
13_2_86_p0,0.031,0.005,0.064,0.014
13_2_87_p0,0.028,0.003,0.054,0.005
13_2_88_p0,0.029,0.002,0.061,0.006
13_2_89_p0,0.027,0.005,0.059,0.014
13_2_8_p0,0.026,0.004,0.051,0.016
13_2_90_p0,0.049,0.019,0.107,0.051
13_2_91_p0,0.038,0.012,0.08,0.036
13_2_92_p0,0.056,0.026,0.131,0.066
13_2_95_p1,0.039,0.011,0.075,0.024
13_2_96_p1,0.033,0.005,0.069,0.023
13_2_97_p1,0.041,0.022,0.097,0.059
13_2_98_p1,0.026,0.004,0.055,0.013
13_2_99_p1,0.033,0.008,0.07,0.018
13_2_9_p0,0.03,0.009,0.058,0.025
14_1_11_p1,0.024,0.002,0.049,0.005
14_1_12_p1,0.028,0.003,0.059,0.009
14_1_13_p1,0.029,0.003,0.059,0.007
14_1_14_p1,0.027,0.002,0.053,0.006
14_1_15_p1,0.031,0.004,0.064,0.014
14_1_16_p1,0.024,0.002,0.051,0.008
14_1_17_p1,0.028,0.004,0.069,0.025
14_1_20_p0,0.026,0.001,0.046,0.003
14_1_21_p0,0.026,0.001,0.044,0.003
14_1_22_p0,0.027,0.001,0.046,0.004
14_1_23_p0,0.026,0.001,0.044,0.003
14_1_24_p0,0.027,0.001,0.047,0.005
14_1_25_p0,0.026,0.001,0.045,0.002
14_1_26_p0,0.027,0.001,0.048,0.003
14_1_29_p1,0.024,0.001,0.048,0.008
14_1_2_p0,0.03,0.003,0.06,0.011
14_1_30_p1,0.028,0.002,0.054,0.018
14_1_31_p1,0.024,0.002,0.048,0.005
14_1_32_p1,0.026,0.001,0.048,0.005
14_1_33_p1,0.025,0.001,0.047,0.004
14_1_34_p1,0.025,0.001,0.05,0.005
14_1_35_p1,0.024,0.003,0.047,0.005
14_1_38_p0,0.029,0.002,0.053,0.009
14_1_39_p0,0.054,0.027,0.132,0.094
14_1_3_p0,0.029,0.003,0.056,0.015
14_1_40_p0,0.029,0.002,0.051,0.008
14_1_41_p0,0.034,0.002,0.071,0.011
14_1_42_p0,0.028,0.002,0.055,0.006
14_1_43_p0,0.034,0.004,0.065,0.012
